"","state","solution_level","fw_kg_per_capita","scenario","conversion_factor","diversion_potential_kg_per_capita"
"212","HI","Animal Feed",152.40708,"baseline","low",0.804594196000688
"213","HI","Recycling",152.40708,"alternative","high",12.292561563401
"214","HI","Recycling",152.40708,"alternative","low",6.14628078170048
"215","HI","Recycling",152.40708,"baseline","high",10.5825379276591
"216","HI","Recycling",152.40708,"baseline","low",5.29126896382957
"217","HI","All",152.40708,"alternative","high",15.8319069001226
"218","HI","All",152.40708,"alternative","low",7.91595345006132
"219","HI","All",152.40708,"baseline","high",13.2194725239128
"220","HI","All",152.40708,"baseline","low",6.60973626195638
"221","ID","Prevention",452.685315,"alternative","high",3.09668235270919
"222","ID","Prevention",452.685315,"alternative","low",1.54834117635459
"223","ID","Prevention",452.685315,"baseline","high",1.05030808706082
"224","ID","Prevention",452.685315,"baseline","low",0.525154043530408
"225","ID","Rescue",452.685315,"alternative","high",9.94476980264849
"226","ID","Rescue",452.685315,"alternative","low",4.97238490132424
"227","ID","Rescue",452.685315,"baseline","high",4.69058857901617
"228","ID","Rescue",452.685315,"baseline","low",2.34529428950809
"229","ID","Animal Feed",452.685315,"alternative","high",2.58280339127324
"230","ID","Animal Feed",452.685315,"alternative","low",1.29140169563662
"231","ID","Animal Feed",452.685315,"baseline","high",2.58280339127324
"232","ID","Animal Feed",452.685315,"baseline","low",1.29140169563662
"233","ID","Recycling",452.685315,"alternative","high",25.9467825661986
"234","ID","Recycling",452.685315,"alternative","low",12.9733912830993
"235","ID","Recycling",452.685315,"baseline","high",24.3059391497162
"236","ID","Recycling",452.685315,"baseline","low",12.1529695748581
"237","ID","All",452.685315,"alternative","high",41.5710381128295
"238","ID","All",452.685315,"alternative","low",20.7855190564147
"239","ID","All",452.685315,"baseline","high",32.6296392070664
"240","ID","All",452.685315,"baseline","low",16.3148196035332
"241","IL","Prevention",222.260325,"alternative","high",0.657998440400338
"242","IL","Prevention",222.260325,"alternative","low",0.328999220200169
"243","IL","Prevention",222.260325,"baseline","high",0.233881850950343
"244","IL","Prevention",222.260325,"baseline","low",0.116940925475172
"245","IL","Rescue",222.260325,"alternative","high",1.49369072519512
"246","IL","Rescue",222.260325,"alternative","low",0.746845362597559
"247","IL","Rescue",222.260325,"baseline","high",0.838835133658088
"248","IL","Rescue",222.260325,"baseline","low",0.419417566829044
"249","IL","Animal Feed",222.260325,"alternative","high",0.834410533245028
"250","IL","Animal Feed",222.260325,"alternative","low",0.417205266622514
"251","IL","Animal Feed",222.260325,"baseline","high",0.834410533245028
"252","IL","Animal Feed",222.260325,"baseline","low",0.417205266622514
"253","IL","Recycling",222.260325,"alternative","high",16.6199272679474
"254","IL","Recycling",222.260325,"alternative","low",8.30996363397372
"255","IL","Recycling",222.260325,"baseline","high",14.6258630881518
"256","IL","Recycling",222.260325,"baseline","low",7.3129315440759
"257","IL","All",222.260325,"alternative","high",19.6060269667879
"258","IL","All",222.260325,"alternative","low",9.80301348339397
"259","IL","All",222.260325,"baseline","high",16.5329906060053
"260","IL","All",222.260325,"baseline","low",8.26649530300263
"261","IN","Prevention",243.12558,"alternative","high",4.79543386688436
"262","IN","Prevention",243.12558,"alternative","low",2.39771693344218
"263","IN","Prevention",243.12558,"baseline","high",1.67461972905026
"264","IN","Prevention",243.12558,"baseline","low",0.837309864525128
"265","IN","Rescue",243.12558,"alternative","high",1.78180657212376
"266","IN","Rescue",243.12558,"alternative","low",0.890903286061879
"267","IN","Rescue",243.12558,"baseline","high",0.996003135993225
"268","IN","Rescue",243.12558,"baseline","low",0.498001567996612
"269","IN","Animal Feed",243.12558,"alternative","high",3.89625488369014
"270","IN","Animal Feed",243.12558,"alternative","low",1.94812744184507
"271","IN","Animal Feed",243.12558,"baseline","high",3.89625488369014
"272","IN","Animal Feed",243.12558,"baseline","low",1.94812744184507
"273","IN","Recycling",243.12558,"alternative","high",18.5065902242398
"274","IN","Recycling",243.12558,"alternative","low",9.25329511211991
"275","IN","Recycling",243.12558,"baseline","high",16.136723482765
"276","IN","Recycling",243.12558,"baseline","low",8.06836174138251
"277","IN","All",243.12558,"alternative","high",28.9800855469381
"278","IN","All",243.12558,"alternative","low",14.490042773469
"279","IN","All",243.12558,"baseline","high",22.7036012314986
"280","IN","All",243.12558,"baseline","low",11.3518006157493
"281","IA","Prevention",317.51475,"alternative","high",5.40538684471348
"282","IA","Prevention",317.51475,"alternative","low",2.70269342235674
"283","IA","Prevention",317.51475,"baseline","high",2.25745129063157
"284","IA","Prevention",317.51475,"baseline","low",1.12872564531578
"285","IA","Rescue",317.51475,"alternative","high",2.65786128211901
"286","IA","Rescue",317.51475,"alternative","low",1.3289306410595
"287","IA","Rescue",317.51475,"baseline","high",1.38355203656786
"288","IA","Rescue",317.51475,"baseline","low",0.691776018283932
"289","IA","Animal Feed",317.51475,"alternative","high",7.44607050855695
"290","IA","Animal Feed",317.51475,"alternative","low",3.72303525427847
"291","IA","Animal Feed",317.51475,"baseline","high",7.44607050855695
"292","IA","Animal Feed",317.51475,"baseline","low",3.72303525427847
"293","IA","Recycling",317.51475,"alternative","high",22.7038793653849
"294","IA","Recycling",317.51475,"alternative","low",11.3519396826925
"295","IA","Recycling",317.51475,"baseline","high",20.3816865488918
"296","IA","Recycling",317.51475,"baseline","low",10.1908432744459
"297","IA","All",317.51475,"alternative","high",38.2131980007743
"298","IA","All",317.51475,"alternative","low",19.1065990003872
"299","IA","All",317.51475,"baseline","high",31.4687603846481
"300","IA","All",317.51475,"baseline","low",15.7343801923241
"301","KS","Prevention",223.16751,"alternative","high",4.54670339956252
"302","KS","Prevention",223.16751,"alternative","low",2.27335169978126
"303","KS","Prevention",223.16751,"baseline","high",1.63259771413311
"304","KS","Prevention",223.16751,"baseline","low",0.816298857066557
"305","KS","Rescue",223.16751,"alternative","high",1.36031017576603
"306","KS","Rescue",223.16751,"alternative","low",0.680155087883013
"307","KS","Rescue",223.16751,"baseline","high",0.793362039817318
"308","KS","Rescue",223.16751,"baseline","low",0.396681019908659
"309","KS","Animal Feed",223.16751,"alternative","high",0.646384716553126
"310","KS","Animal Feed",223.16751,"alternative","low",0.323192358276563
"311","KS","Animal Feed",223.16751,"baseline","high",0.646384716553126
"312","KS","Animal Feed",223.16751,"baseline","low",0.323192358276563
"313","KS","Recycling",223.16751,"alternative","high",17.7937475539668
"314","KS","Recycling",223.16751,"alternative","low",8.89687377698338
"315","KS","Recycling",223.16751,"baseline","high",15.5576481746021
"316","KS","Recycling",223.16751,"baseline","low",7.77882408730103
"317","KS","All",223.16751,"alternative","high",24.3471458458484
"318","KS","All",223.16751,"alternative","low",12.1735729229242
"319","KS","All",223.16751,"baseline","high",18.6299926451056
"320","KS","All",223.16751,"baseline","low",9.31499632255281
"321","KY","Prevention",224.074695,"alternative","high",0.804065052112331
"322","KY","Prevention",224.074695,"alternative","low",0.402032526056165
"323","KY","Prevention",224.074695,"baseline","high",0.271538774467507
"324","KY","Prevention",224.074695,"baseline","low",0.135769387233753
"325","KY","Rescue",224.074695,"alternative","high",1.7776823737158
"326","KY","Rescue",224.074695,"alternative","low",0.888841186857902
"327","KY","Rescue",224.074695,"baseline","high",1.09946721490384
"328","KY","Rescue",224.074695,"baseline","low",0.549733607451919
"329","KY","Animal Feed",224.074695,"alternative","high",0.464905276701036
"330","KY","Animal Feed",224.074695,"alternative","low",0.232452638350518
"331","KY","Animal Feed",224.074695,"baseline","high",0.464905276701036
"332","KY","Animal Feed",224.074695,"baseline","low",0.232452638350518
"333","KY","Recycling",224.074695,"alternative","high",18.4376052295481
"334","KY","Recycling",224.074695,"alternative","low",9.21880261477403
"335","KY","Recycling",224.074695,"baseline","high",16.0119251315853
"336","KY","Recycling",224.074695,"baseline","low",8.00596256579263
"337","KY","All",224.074695,"alternative","high",21.4842579320772
"338","KY","All",224.074695,"alternative","low",10.7421289660386
"339","KY","All",224.074695,"baseline","high",17.8478363976576
"340","KY","All",224.074695,"baseline","low",8.92391819882882
"341","LA","Prevention",321.14349,"alternative","high",0.752899379876089
"342","LA","Prevention",321.14349,"alternative","low",0.376449689938045
"343","LA","Prevention",321.14349,"baseline","high",0.253428421125847
"344","LA","Prevention",321.14349,"baseline","low",0.126714210562923
"345","LA","Rescue",321.14349,"alternative","high",1.51089841174555
"346","LA","Rescue",321.14349,"alternative","low",0.755449205872773
"347","LA","Rescue",321.14349,"baseline","high",0.863283415997496
"348","LA","Rescue",321.14349,"baseline","low",0.431641707998748
"349","LA","Animal Feed",321.14349,"alternative","high",1.97617478889096
"350","LA","Animal Feed",321.14349,"alternative","low",0.988087394445479
"351","LA","Animal Feed",321.14349,"baseline","high",1.97617478889096
"352","LA","Animal Feed",321.14349,"baseline","low",0.988087394445479
"353","LA","Recycling",321.14349,"alternative","high",22.5455436667141
"354","LA","Recycling",321.14349,"alternative","low",11.2727718333571
"355","LA","Recycling",321.14349,"baseline","high",20.2490802733951
"356","LA","Recycling",321.14349,"baseline","low",10.1245401366975
"357","LA","All",321.14349,"alternative","high",26.7855162472267
"358","LA","All",321.14349,"alternative","low",13.3927581236134
"359","LA","All",321.14349,"baseline","high",23.3419668994094
"360","LA","All",321.14349,"baseline","low",11.6709834497047
"361","ME","Prevention",288.48483,"alternative","high",5.22190298086598
"362","ME","Prevention",288.48483,"alternative","low",2.61095149043299
